lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,roll_no,gender,race_ethnicity,parental_level_of_education,Cluster
0,0,48,61,61,67,237,std-3028,male,group E,high school,0
0,0,78,75,98,84,335,std-3029,male,group B,associate's degree,0
1,1,37,64,62,75,238,std-3030,male,group B,high school,0
1,0,33,75,78,47,233,std-3031,male,group E,associate's degree,0
0,0,50,65,62,62,239,std-3032,male,group D,bachelor's degree,4
1,0,80,67,65,52,264,std-3033,male,group C,some high school,2
1,0,6,74,65,47,192,std-3034,male,group A,associate's degree,0
0,0,70,63,48,66,247,std-3035,male,group A,high school,0
1,0,48,62,74,71,255,std-3036,male,group A,high school,0
1,0,83,61,79,69,292,std-3037,male,group B,some college,0
0,0,27,100,79,64,270,std-3038,male,group C,some college,2
1,1,98,95,81,66,340,std-3039,male,group D,some college,4
0,0,11,100,70,85,266,std-3040,male,group D,associate's degree,4
1,1,38,85,83,93,299,std-3041,male,group C,associate's degree,2
1,0,75,90,78,52,295,std-3042,male,group D,some college,4
1,0,30,68,62,82,242,std-3043,male,group D,bachelor's degree,4
1,0,17,38,50,64,169,std-3044,male,group C,high school,2
0,0,26,78,49,43,196,std-3045,male,group B,some college,0
0,1,35,97,51,52,235,std-3046,male,group D,some high school,4
1,1,76,99,98,100,373,std-3047,male,group E,some college,0
1,0,25,63,47,86,221,std-3048,male,group C,some college,2
1,1,35,39,63,42,179,std-3049,male,group C,high school,2
0,0,63,76,57,62,258,std-3050,male,group A,high school,0
1,0,70,77,65,44,256,std-3051,male,group C,high school,2
1,1,64,95,73,77,309,std-3052,male,group B,some college,0
1,1,100,75,61,43,279,std-3053,male,group A,high school,0
1,0,85,58,66,78,287,std-3054,male,group D,high school,4
0,0,43,66,54,45,208,std-3055,male,group D,high school,4
1,0,49,72,65,100,286,std-3056,male,group C,high school,2
1,0,66,84,49,58,257,std-3057,male,group D,some college,4
0,1,23,87,85,82,277,std-3058,male,group C,some college,2
1,0,57,54,64,43,218,std-3059,male,group E,master's degree,0
1,0,53,56,100,42,251,std-3060,male,group A,bachelor's degree,0
1,0,66,63,68,73,270,std-3061,male,group B,associate's degree,0
1,0,15,65,90,37,207,std-3062,male,group D,master's degree,4
1,0,61,92,86,100,339,std-3063,male,group C,high school,2
0,0,38,66,67,55,226,std-3064,male,group D,some high school,4
1,0,50,79,70,97,296,std-3065,male,group E,some college,0
1,1,59,85,86,56,286,std-3066,male,group D,some high school,4
0,0,19,68,72,38,197,std-3067,male,group D,bachelor's degree,4
0,1,11,58,59,37,165,std-3068,male,group C,some college,2
0,1,44,76,57,46,223,std-3069,male,group D,some college,4
1,1,69,17,90,38,214,std-3070,male,group D,master's degree,4
0,0,28,45,66,63,202,std-3072,male,group D,some college,4
0,1,46,100,74,40,260,std-3073,male,group C,associate's degree,2
0,0,35,65,64,47,211,std-3074,male,group C,high school,2
1,0,33,100,54,71,258,std-3075,male,group B,master's degree,0
1,1,69,77,41,81,268,std-3076,male,group B,some college,0
0,0,48,86,60,62,256,std-3077,male,group C,some high school,2
1,0,74,93,79,100,346,std-3078,male,group B,some college,0
1,1,35,81,73,28,217,std-3079,male,group C,high school,2
1,1,63,98,87,51,299,std-3080,male,group E,some college,0
1,1,88,87,73,78,326,std-3082,male,group C,some college,2
1,0,56,79,67,77,279,std-3083,male,group D,high school,4
1,1,68,67,81,65,281,std-3084,male,group B,high school,0
1,0,21,90,89,88,288,std-3085,male,group B,bachelor's degree,0
1,1,46,47,77,33,203,std-3086,male,group A,master's degree,0
0,0,47,77,58,53,235,std-3087,male,group C,high school,2
1,0,55,82,63,88,288,std-3088,male,group C,high school,2
0,1,80,91,50,49,270,std-3089,male,group E,some college,0
1,1,53,68,68,55,244,std-3090,male,group A,bachelor's degree,0
1,0,48,46,39,58,191,std-3091,male,group C,some college,2
0,0,47,66,62,26,201,std-3093,male,group C,high school,2
1,0,38,88,69,100,295,std-3094,male,group E,some college,0
1,0,27,93,62,55,237,std-3095,male,group D,some college,4
0,0,52,52,83,49,236,std-3096,male,group C,some college,2
1,0,53,53,60,84,250,std-3097,male,group C,some college,2
0,1,58,70,100,47,275,std-3098,male,group D,bachelor's degree,4
0,0,70,37,56,52,215,std-3099,male,group C,bachelor's degree,2
1,0,27,63,100,56,246,std-3100,male,group C,some high school,2
1,1,57,79,79,43,258,std-3101,male,group E,some college,0
1,1,90,65,32,55,242,std-3102,male,group B,high school,0
1,1,74,100,76,45,295,std-3103,male,group C,high school,2
0,0,61,71,77,59,268,std-3104,male,group C,associate's degree,2
1,1,84,17,81,72,254,std-3105,male,group D,some high school,4
1,0,12,95,38,61,206,std-3106,male,group B,high school,0
1,0,37,81,73,84,275,std-3107,male,group B,associate's degree,0
1,0,77,72,88,44,281,std-3108,male,group C,bachelor's degree,2
0,0,53,77,100,57,287,std-3109,male,group B,some high school,0
1,0,71,95,43,50,259,std-3110,male,group B,bachelor's degree,0
0,0,69,83,53,48,253,std-3111,male,group C,associate's degree,2
0,0,53,17,54,60,184,std-3112,male,group B,high school,0
0,0,56,74,95,58,283,std-3113,male,group E,some college,0
0,1,50,78,78,68,274,std-3114,male,group C,some college,2
1,1,32,79,73,65,249,std-3115,male,group B,associate's degree,0
1,1,56,76,74,85,291,std-3116,male,group C,some college,2
1,1,99,93,72,90,354,std-3117,male,group D,some college,4
1,0,54,82,85,63,284,std-3118,male,group C,high school,2
1,0,35,87,92,99,313,std-3119,male,group B,associate's degree,0
0,0,12,75,87,53,227,std-3120,male,group C,some high school,2
0,1,92,48,98,61,299,std-3121,male,group D,bachelor's degree,4
1,1,27,85,57,51,220,std-3122,male,group B,master's degree,0
0,0,84,58,79,63,284,std-3123,male,group D,some high school,4
1,0,69,63,91,50,273,std-3124,male,group D,some college,4
1,1,73,100,71,56,300,std-3125,male,group D,some high school,4
1,1,52,70,65,100,287,std-3126,male,group B,master's degree,0
1,1,61,100,85,63,309,std-3127,male,group E,some college,0
0,0,65,83,46,48,242,std-3128,male,group D,high school,4
0,0,52,68,64,74,258,std-3129,male,group C,some high school,2
1,0,11,89,84,28,212,std-3130,male,group C,some college,2
1,0,61,61,64,100,286,std-3131,male,group D,some college,4
1,0,59,78,81,63,281,std-3132,male,group D,bachelor's degree,4
0,0,52,82,58,60,252,std-3133,male,group B,some high school,0
0,0,21,36,75,58,190,std-3134,male,group B,high school,0
1,0,35,96,78,44,253,std-3135,male,group D,some college,4
1,0,31,74,39,36,180,std-3136,male,group D,master's degree,4
1,0,60,70,49,80,259,std-3137,male,group C,high school,2
0,0,24,60,30,59,173,std-3138,male,group C,some high school,2
1,1,38,77,100,77,292,std-3139,male,group A,some high school,0
1,0,35,88,79,39,241,std-3140,male,group C,associate's degree,2
0,0,46,55,91,71,263,std-3141,male,group E,associate's degree,0
0,0,43,44,54,32,173,std-3142,male,group A,associate's degree,0
1,1,61,59,76,55,251,std-3143,male,group E,bachelor's degree,0
0,1,44,97,93,79,313,std-3144,male,group C,high school,2
0,1,61,67,28,50,206,std-3145,male,group B,bachelor's degree,0
0,0,80,35,65,81,261,std-3146,male,group C,some college,2
0,0,56,70,79,71,276,std-3147,male,group C,associate's degree,2
0,0,59,86,27,76,248,std-3148,male,group B,bachelor's degree,0
0,1,81,63,67,11,222,std-3149,male,group B,associate's degree,0
1,1,58,71,97,46,272,std-3150,male,group C,some high school,2
1,0,68,55,66,99,288,std-3151,male,group D,bachelor's degree,4
0,1,86,48,58,22,214,std-3152,male,group C,some college,2
1,0,47,42,33,50,172,std-3153,male,group E,associate's degree,0
1,1,42,87,90,75,294,std-3154,male,group A,some high school,0
1,1,46,86,64,39,235,std-3155,male,group D,master's degree,4
1,0,22,51,83,64,220,std-3156,male,group C,associate's degree,2
1,0,51,40,88,65,244,std-3157,male,group D,high school,4
0,0,76,85,38,56,255,std-3158,male,group C,bachelor's degree,2
1,0,45,100,90,46,281,std-3159,male,group B,master's degree,0
1,1,100,83,73,100,356,std-3160,male,group C,high school,2
1,0,40,89,62,66,257,std-3161,male,group D,high school,4
1,1,44,76,73,51,244,std-3162,male,group D,some high school,4
0,0,32,79,53,54,218,std-3163,male,group D,some high school,4
0,0,35,53,40,65,193,std-3164,male,group C,master's degree,2
1,0,46,69,39,53,207,std-3165,male,group A,high school,0
0,1,34,64,89,97,284,std-3166,male,group C,associate's degree,2
1,1,36,100,49,60,245,std-3167,male,group B,master's degree,0
1,1,63,72,47,73,255,std-3168,male,group E,high school,0
1,1,20,56,61,50,187,std-3169,male,group D,bachelor's degree,4
0,0,18,44,25,89,176,std-3171,male,group B,associate's degree,0
0,0,73,67,81,32,253,std-3172,male,group D,high school,4
1,0,35,55,59,95,244,std-3173,male,group C,some college,2
1,1,12,49,69,47,177,std-3174,male,group A,some high school,0
1,0,16,79,56,32,183,std-3175,male,group C,some college,2
0,0,38,51,60,84,233,std-3177,male,group C,some high school,2
0,1,24,67,95,85,271,std-3178,male,group C,associate's degree,2
1,0,64,78,79,79,300,std-3179,male,group E,some high school,0
1,1,20,90,62,82,254,std-3180,male,group D,bachelor's degree,4
1,0,72,53,58,43,226,std-3181,male,group E,some college,0
1,0,57,98,46,89,290,std-3182,male,group C,bachelor's degree,2
1,0,70,63,77,56,266,std-3183,male,group D,some college,4
1,1,37,52,56,81,226,std-3184,male,group C,some college,2
1,0,37,81,100,86,304,std-3185,male,group C,high school,2
1,0,70,66,50,65,251,std-3186,male,group D,associate's degree,4
0,1,39,74,89,46,248,std-3187,male,group D,bachelor's degree,4
1,0,63,80,51,47,241,std-3188,male,group D,associate's degree,4
1,1,58,65,62,31,216,std-3189,male,group E,some college,0
0,0,75,81,82,83,321,std-3190,male,group E,some college,0
1,0,36,71,50,81,238,std-3191,male,group D,some high school,4
1,1,43,98,76,88,305,std-3192,male,group D,some high school,4
1,1,45,46,48,59,198,std-3193,male,group E,associate's degree,0
1,0,89,89,97,14,289,std-3195,male,group B,some high school,0
1,0,18,87,92,85,282,std-3196,male,group C,high school,2
1,0,43,44,91,43,221,std-3197,male,group C,associate's degree,2
1,1,69,86,73,75,303,std-3198,male,group D,associate's degree,4
0,0,67,83,56,94,300,std-3199,male,group C,high school,2
1,0,81,79,42,54,256,std-3200,male,group C,high school,2
1,0,62,55,99,94,310,std-3201,male,group D,bachelor's degree,4
0,0,16,71,60,54,201,std-3202,male,group D,some college,4
1,1,42,46,89,73,250,std-3203,male,group C,some college,2
1,0,50,70,79,66,265,std-3204,male,group E,associate's degree,0
1,0,46,100,30,66,242,std-3205,male,group C,associate's degree,2
1,0,43,81,50,63,237,std-3206,male,group A,high school,0
1,1,72,72,73,70,287,std-3207,male,group D,high school,4
0,0,61,49,73,34,217,std-3208,male,group C,some college,2
0,0,29,62,76,59,226,std-3209,male,group E,associate's degree,0
1,1,45,77,98,86,306,std-3210,male,group C,some college,2
0,1,38,89,95,67,289,std-3211,male,group D,some college,4
0,1,91,41,62,95,289,std-3212,male,group C,bachelor's degree,2
0,1,45,66,45,69,225,std-3217,male,group E,master's degree,0
1,0,87,25,61,11,184,std-3222,male,group E,high school,0
1,0,71,96,37,71,275,std-3223,male,group D,associate's degree,4
1,0,39,20,59,75,193,std-3224,male,group D,some college,4
0,0,49,23,67,61,200,std-3226,male,group E,high school,0
1,0,25,78,70,45,218,std-3227,male,group E,high school,0
0,1,24,67,92,71,254,std-3228,male,group B,bachelor's degree,0
1,0,82,100,99,80,361,std-3229,male,group C,associate's degree,2
1,1,28,68,72,41,209,std-3230,male,group E,bachelor's degree,0
1,0,76,79,96,60,311,std-3231,male,group D,associate's degree,4
1,0,77,90,67,55,289,std-3232,male,group C,associate's degree,2
1,0,32,55,94,72,253,std-3233,male,group C,master's degree,2
1,1,19,71,55,98,243,std-3234,male,group D,bachelor's degree,4
0,1,54,58,81,50,243,std-3235,male,group C,associate's degree,2
1,1,59,94,66,71,290,std-3236,male,group E,associate's degree,0
1,0,12,92,94,48,246,std-3237,male,group B,associate's degree,0
1,1,94,54,76,66,290,std-3238,male,group D,some high school,4
1,1,99,75,89,65,328,std-3239,male,group A,high school,0
1,1,55,68,99,40,262,std-3240,male,group E,bachelor's degree,0
1,0,77,71,37,88,273,std-3241,male,group C,some high school,2
0,1,48,61,44,44,197,std-3242,male,group A,bachelor's degree,0
1,0,54,72,69,76,271,std-3243,male,group C,some college,2
1,1,85,44,78,32,239,std-3244,male,group C,master's degree,2
1,1,32,60,78,94,264,std-3245,male,group C,some high school,2
0,1,87,100,89,98,374,std-3246,male,group C,associate's degree,2
0,1,30,17,61,72,180,std-3247,male,group E,bachelor's degree,0
0,1,58,49,63,68,238,std-3248,male,group C,high school,2
1,0,60,35,55,38,188,std-3249,male,group B,some high school,0
1,0,26,98,81,94,299,std-3250,male,group D,master's degree,4
1,1,84,42,44,72,242,std-3251,male,group E,bachelor's degree,0
0,1,68,44,54,69,235,std-3252,male,group C,some high school,2
1,1,72,67,60,64,263,std-3253,male,group B,some college,0
0,1,48,100,86,93,327,std-3255,male,group C,bachelor's degree,2
0,1,37,100,67,87,291,std-3256,male,group A,associate's degree,0
1,1,73,71,50,61,255,std-3257,male,group C,associate's degree,2
1,1,10,100,55,63,228,std-3258,male,group C,some college,2
0,1,21,81,72,60,234,std-3259,male,group A,some high school,0
0,0,50,83,79,66,278,std-3260,male,group C,some high school,2
0,0,36,86,73,83,278,std-3261,male,group C,some high school,2
0,1,24,70,66,38,198,std-3262,male,group C,master's degree,2
0,1,41,62,85,54,242,std-3263,male,group C,some college,2
0,0,82,68,100,62,312,std-3264,male,group B,master's degree,0
1,0,53,100,45,63,261,std-3265,male,group B,some college,0
1,0,46,42,78,44,210,std-3266,male,group A,associate's degree,0
0,0,56,84,45,100,285,std-3267,male,group E,associate's degree,0
1,0,72,50,70,81,273,std-3268,male,group B,high school,0
0,0,53,54,62,85,254,std-3269,male,group D,bachelor's degree,4
0,0,20,78,75,42,215,std-3270,male,group C,some high school,2
1,1,58,95,41,48,242,std-3271,male,group E,master's degree,0
1,0,73,100,80,90,343,std-3272,male,group C,associate's degree,2
1,0,38,87,69,73,267,std-3273,male,group B,some college,0
0,1,51,60,54,52,217,std-3274,male,group E,some high school,0
1,1,79,84,70,40,273,std-3275,male,group C,high school,2
1,1,35,60,70,65,230,std-3276,male,group C,associate's degree,2
1,1,77,42,61,74,254,std-3277,male,group E,high school,0
0,1,60,74,47,88,269,std-3278,male,group E,high school,0
0,1,84,86,55,37,262,std-3279,male,group D,some college,4
0,1,67,61,70,88,286,std-3280,male,group C,some high school,2
0,1,71,70,62,78,281,std-3281,male,group E,high school,0
1,1,56,100,65,94,315,std-3282,male,group D,high school,4
0,1,37,77,74,31,219,std-3283,male,group B,high school,0
1,1,100,72,74,78,324,std-3284,male,group D,associate's degree,4
1,1,30,47,72,75,224,std-3285,male,group D,some high school,4
1,0,39,77,61,48,225,std-3286,male,group D,some college,4
1,0,18,80,80,45,223,std-3287,male,group D,associate's degree,4
0,0,64,63,48,66,241,std-3288,male,group B,high school,0
1,1,81,90,62,80,313,std-3289,male,group E,associate's degree,0
1,0,42,81,72,82,277,std-3290,male,group C,bachelor's degree,2
1,1,100,47,58,70,275,std-3291,male,group A,associate's degree,0
0,0,43,93,93,80,309,std-3292,male,group C,some high school,2
0,0,14,100,58,50,222,std-3293,male,group C,high school,2
1,0,68,83,67,54,272,std-3294,male,group D,associate's degree,4
0,0,80,38,94,46,258,std-3295,male,group D,associate's degree,4
0,0,62,38,89,35,224,std-3296,male,group C,associate's degree,2
1,1,48,56,74,67,245,std-3297,male,group B,some college,0
0,1,46,98,70,37,251,std-3298,male,group D,high school,4
0,0,56,35,41,52,184,std-3299,male,group B,high school,0
1,0,30,88,74,37,229,std-3300,male,group B,high school,0
1,0,54,96,59,62,271,std-3301,male,group E,bachelor's degree,0
0,0,55,95,77,79,306,std-3302,male,group D,some college,4
0,0,39,72,80,59,250,std-3303,male,group A,associate's degree,0
0,1,100,94,85,81,360,std-3304,male,group D,some college,4
1,0,15,62,85,49,211,std-3305,male,group A,high school,0
1,0,82,81,53,74,290,std-3306,male,group C,some college,2
1,0,62,53,100,48,263,std-3307,male,group D,associate's degree,4
1,1,57,68,35,100,260,std-3308,male,group D,high school,4
1,0,28,84,49,88,249,std-3309,male,group B,high school,0
1,0,48,73,95,13,229,std-3310,male,group D,high school,4
0,0,8,39,64,55,166,std-3311,male,group B,associate's degree,0
0,1,75,50,59,49,233,std-3312,male,group E,some college,0
0,1,53,82,94,80,309,std-3313,male,group C,some college,2
1,1,55,51,87,40,233,std-3314,male,group D,some high school,4
0,1,13,78,64,68,223,std-3315,male,group C,high school,2
1,0,51,89,89,46,275,std-3317,male,group D,some college,4
1,1,35,81,59,90,265,std-3318,male,group C,some college,2
1,1,69,33,35,84,221,std-3319,male,group D,associate's degree,4
1,1,78,59,62,92,291,std-3320,male,group E,master's degree,0
1,0,34,87,50,27,198,std-3321,male,group E,high school,0
0,1,52,55,87,86,280,std-3322,male,group C,bachelor's degree,2
1,0,13,100,71,68,252,std-3323,male,group E,associate's degree,0
1,0,48,51,59,68,226,std-3324,male,group E,some high school,0
1,0,54,69,65,75,263,std-3325,male,group B,some college,0
1,0,64,100,59,53,276,std-3326,male,group C,some college,2
1,0,46,98,100,85,329,std-3327,male,group C,bachelor's degree,2
0,0,50,77,87,80,294,std-3328,male,group D,some college,4
1,0,91,73,49,71,284,std-3329,male,group C,some college,2
0,0,28,70,66,60,224,std-3330,male,group B,associate's degree,0
0,0,86,51,75,74,286,std-3331,male,group B,some college,0
0,0,33,66,58,73,230,std-3332,male,group C,associate's degree,2
1,0,87,100,75,73,335,std-3333,male,group D,master's degree,4
0,1,30,72,88,81,271,std-3334,male,group B,high school,0
1,0,81,52,92,47,272,std-3335,male,group C,high school,2
1,0,79,78,76,70,303,std-3336,male,group B,high school,0
1,1,23,100,83,62,268,std-3337,male,group E,associate's degree,0
0,0,79,88,61,84,312,std-3338,male,group B,high school,0
1,0,37,78,59,53,227,std-3339,male,group C,some high school,2
1,1,38,66,82,38,224,std-3340,male,group C,some college,2
1,1,45,50,67,79,241,std-3341,male,group B,some high school,0
0,0,17,69,62,44,192,std-3342,male,group E,some high school,0
0,1,34,61,83,100,278,std-3343,male,group D,some high school,4
1,1,76,80,67,100,323,std-3344,male,group C,associate's degree,2
0,0,56,99,59,58,272,std-3345,male,group D,associate's degree,4
0,0,54,76,92,91,313,std-3346,male,group A,high school,0
0,0,41,50,48,66,205,std-3348,male,group C,associate's degree,2
0,0,16,77,51,62,206,std-3349,male,group C,bachelor's degree,2
1,0,64,55,68,60,247,std-3350,male,group C,high school,2
1,0,65,84,68,74,291,std-3351,male,group E,master's degree,0
0,0,29,93,45,100,267,std-3352,male,group D,associate's degree,4
1,1,71,71,38,59,239,std-3353,male,group C,some college,2
0,0,84,37,44,87,252,std-3354,male,group C,high school,2
0,0,26,26,58,72,182,std-3355,male,group C,master's degree,2
1,0,43,99,68,15,225,std-3356,male,group A,some college,0
1,0,86,74,76,100,336,std-3357,male,group C,bachelor's degree,2
1,0,40,67,100,75,282,std-3358,male,group C,bachelor's degree,2
0,1,100,60,71,70,301,std-3359,male,group D,some high school,4
0,0,75,67,100,100,342,std-3360,male,group E,some college,0
1,0,97,76,40,53,266,std-3361,male,group C,associate's degree,2
1,1,43,100,97,34,274,std-3362,male,group B,some college,0
1,1,62,53,71,66,252,std-3363,male,group A,master's degree,0
1,0,25,75,75,66,241,std-3364,male,group D,associate's degree,4
1,0,79,92,34,42,247,std-3366,male,group D,bachelor's degree,4
1,1,43,90,57,52,242,std-3367,male,group E,some college,0
0,1,63,81,73,54,271,std-3368,male,group A,associate's degree,0
0,1,85,85,86,52,308,std-3369,male,group C,some high school,2
1,1,21,94,76,75,266,std-3370,male,group B,associate's degree,0
1,0,55,54,60,83,252,std-3371,male,group D,some college,4
0,0,40,58,69,73,240,std-3372,male,group C,some college,2
0,0,77,59,61,100,297,std-3374,male,group B,some high school,0
0,0,42,59,67,42,210,std-3375,male,group E,associate's degree,0
1,0,40,85,34,73,232,std-3376,male,group D,high school,4
1,0,39,72,74,57,242,std-3377,male,group C,some college,2
1,0,32,69,70,75,246,std-3378,male,group A,some college,0
1,1,23,99,100,100,322,std-3379,male,group C,high school,2
1,1,68,79,81,73,301,std-3380,male,group B,some high school,0
1,0,56,58,97,59,270,std-3381,male,group C,some college,2
1,0,53,70,43,89,255,std-3382,male,group E,high school,0
0,0,71,75,76,51,273,std-3383,male,group E,associate's degree,0
0,1,68,57,68,73,266,std-3384,male,group B,some college,0
1,0,52,100,100,70,322,std-3385,male,group D,bachelor's degree,4
1,0,24,91,47,42,204,std-3386,male,group C,bachelor's degree,2
0,0,47,56,77,17,197,std-3387,male,group D,some college,4
1,1,76,50,68,48,242,std-3389,male,group D,some college,4
0,0,43,57,42,66,208,std-3390,male,group E,bachelor's degree,0
1,0,52,63,41,59,215,std-3392,male,group C,associate's degree,2
0,0,50,70,53,66,239,std-3393,male,group D,associate's degree,4
1,0,36,82,66,85,269,std-3394,male,group C,some high school,2
1,1,44,63,71,73,251,std-3395,male,group E,bachelor's degree,0
0,0,29,57,56,60,202,std-3396,male,group C,high school,2
0,1,56,98,96,35,285,std-3397,male,group A,some high school,0
0,0,95,56,57,39,247,std-3398,male,group E,master's degree,0
0,0,38,62,49,52,201,std-3399,male,group D,bachelor's degree,4
0,0,50,64,47,64,225,std-3400,male,group C,bachelor's degree,2
1,1,47,100,55,99,301,std-3401,male,group D,some college,4
1,0,64,56,47,43,210,std-3402,male,group D,bachelor's degree,4
0,1,60,78,41,53,232,std-3403,male,group E,bachelor's degree,0
1,0,49,81,36,53,219,std-3404,male,group C,master's degree,2
0,1,53,62,58,81,254,std-3405,male,group D,some high school,4
0,0,25,70,62,87,244,std-3406,male,group D,master's degree,4
1,0,37,61,42,51,191,std-3407,male,group C,associate's degree,2
1,0,55,68,63,37,223,std-3408,male,group C,some high school,2
1,1,40,24,40,68,172,std-3409,male,group D,high school,4
1,1,37,65,59,38,199,std-3410,male,group E,bachelor's degree,0
0,0,14,43,39,94,190,std-3411,male,group D,some college,4
1,0,26,87,59,62,234,std-3412,male,group E,bachelor's degree,0
1,0,16,64,99,72,251,std-3413,male,group D,bachelor's degree,4
1,1,69,100,51,90,310,std-3414,male,group E,some college,0
0,0,100,88,68,69,325,std-3416,male,group E,some high school,0
0,1,36,57,47,73,213,std-3417,male,group B,high school,0
1,1,47,97,65,76,285,std-3418,male,group A,high school,0
0,0,33,61,86,92,272,std-3419,male,group B,associate's degree,0
0,1,27,84,48,78,237,std-3420,male,group B,some high school,0
0,1,62,17,56,68,203,std-3421,male,group C,high school,2
0,1,11,100,70,72,253,std-3422,male,group C,some college,2
1,0,61,100,100,100,361,std-3423,male,group D,some college,4
1,0,55,76,48,45,224,std-3424,male,group D,some high school,4
0,1,65,49,82,85,281,std-3425,male,group C,high school,2
0,0,28,90,72,30,220,std-3426,male,group E,some high school,0
1,1,45,86,76,46,253,std-3427,male,group D,high school,4
0,1,50,59,72,75,256,std-3428,male,group D,high school,4
1,0,47,100,97,82,326,std-3429,male,group B,bachelor's degree,0
1,0,20,89,94,84,287,std-3430,male,group D,some college,4
1,0,67,59,74,43,243,std-3431,male,group C,high school,2
1,0,67,99,72,18,256,std-3432,male,group C,some high school,2
1,1,64,59,79,40,242,std-3433,male,group D,some college,4
0,0,36,53,49,67,205,std-3434,male,group D,high school,4
1,0,64,100,71,87,322,std-3435,male,group C,associate's degree,2
1,0,78,60,80,51,269,std-3436,male,group D,associate's degree,4
1,0,37,72,61,77,247,std-3437,male,group C,associate's degree,2
1,1,86,46,36,31,199,std-3438,male,group D,some college,4
1,1,28,73,50,46,197,std-3439,male,group C,some high school,2
1,1,40,64,77,96,277,std-3440,male,group C,some high school,2
0,0,65,100,56,94,315,std-3441,male,group D,high school,4
1,1,26,68,29,97,220,std-3442,male,group C,high school,2
0,0,19,85,94,65,263,std-3443,male,group D,associate's degree,4
1,1,67,57,72,37,233,std-3444,male,group C,some college,2
1,0,41,73,54,87,255,std-3445,male,group C,master's degree,2
1,1,57,68,63,58,246,std-3446,male,group C,associate's degree,2
1,0,90,90,61,78,319,std-3447,male,group C,some high school,2
0,0,28,37,54,100,219,std-3448,male,group C,associate's degree,2
1,1,51,74,49,44,218,std-3449,male,group E,master's degree,0
0,1,56,50,88,59,253,std-3450,male,group D,master's degree,4
0,0,77,75,73,43,268,std-3451,male,group C,associate's degree,2
1,1,68,97,57,68,290,std-3452,male,group D,some college,4
0,1,100,57,46,59,262,std-3453,male,group D,high school,4
0,1,26,87,69,91,273,std-3454,male,group D,some high school,4
1,0,50,82,29,62,223,std-3455,male,group D,some college,4
1,1,56,96,43,58,253,std-3456,male,group B,associate's degree,0
0,0,21,74,74,67,236,std-3457,male,group A,some high school,0
1,1,58,100,87,87,332,std-3458,male,group B,associate's degree,0
1,0,24,62,69,36,191,std-3459,male,group C,high school,2
1,1,65,85,52,87,289,std-3460,male,group D,high school,4
1,1,63,40,75,28,206,std-3461,male,group D,associate's degree,4
0,1,45,86,70,60,261,std-3462,male,group B,bachelor's degree,0
1,0,62,83,55,80,280,std-3463,male,group E,some high school,0
0,0,62,59,83,52,256,std-3464,male,group D,associate's degree,4
0,1,61,82,58,91,292,std-3465,male,group C,some college,2
1,0,62,84,71,53,270,std-3466,male,group D,high school,4
1,0,65,92,68,92,317,std-3467,male,group C,high school,2
1,1,38,100,81,42,261,std-3469,male,group D,high school,4
1,0,100,51,77,93,321,std-3470,male,group E,master's degree,0
0,0,55,70,66,72,263,std-3471,male,group D,bachelor's degree,4
0,1,59,91,75,63,288,std-3472,male,group A,some high school,0
0,0,19,70,54,24,167,std-3473,male,group C,some high school,2
1,0,33,53,76,65,227,std-3474,male,group C,some college,2
1,1,41,62,49,56,208,std-3475,male,group E,some high school,0
1,1,23,76,65,82,246,std-3476,male,group D,associate's degree,4
1,0,26,75,44,60,205,std-3477,male,group D,associate's degree,4
1,0,23,100,39,85,247,std-3478,male,group C,some high school,2
1,1,65,74,43,88,270,std-3479,male,group D,some high school,4
0,1,60,60,62,43,225,std-3480,male,group B,associate's degree,0
1,0,73,78,90,51,292,std-3481,male,group E,some college,0
1,1,41,89,73,53,256,std-3482,male,group C,associate's degree,2
1,0,62,51,78,74,265,std-3483,male,group B,some college,0
0,1,16,68,66,70,220,std-3484,male,group D,some college,4
0,0,28,100,48,97,273,std-3485,male,group C,high school,2
1,0,84,40,69,52,245,std-3486,male,group E,some high school,0
1,1,43,100,68,61,272,std-3487,male,group D,bachelor's degree,4
0,0,78,57,81,86,302,std-3488,male,group D,high school,4
0,1,47,63,60,83,253,std-3489,male,group D,associate's degree,4
0,0,71,89,100,82,342,std-3490,male,group D,bachelor's degree,4
1,1,33,61,52,78,224,std-3491,male,group D,high school,4
0,0,30,100,75,56,261,std-3492,male,group E,high school,0
0,0,28,68,56,65,217,std-3493,male,group B,associate's degree,0
1,0,76,100,79,80,335,std-3494,male,group D,bachelor's degree,4
0,1,62,17,82,73,234,std-3495,male,group D,some high school,4
0,1,96,92,56,40,284,std-3496,male,group A,master's degree,0
1,1,28,100,34,83,245,std-3498,male,group D,associate's degree,4
1,0,59,48,54,65,226,std-3499,male,group E,some high school,0
1,0,60,58,78,48,244,std-3500,male,group B,high school,0
1,1,99,63,64,100,326,std-3501,male,group E,associate's degree,0
1,1,24,86,78,99,287,std-3502,male,group E,some high school,0
1,0,69,82,52,51,254,std-3503,male,group A,high school,0
1,0,54,78,53,100,285,std-3504,male,group D,some college,4
0,0,22,66,64,27,179,std-3505,male,group C,some high school,2
1,1,16,44,68,94,222,std-3506,male,group D,associate's degree,4
1,0,96,66,49,90,301,std-3507,male,group C,some high school,2
1,1,38,79,82,41,240,std-3508,male,group C,some college,2
