TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,Channel,CustomerOccupation,Cluster,Category
253.47,20,238,1,220.51,Debit,Atlanta,Branch,Student,0,Transaksi Normal
22.81,62,75,1,3634.76,Debit,New York,Online,Retired,0,Transaksi Normal
266.57,39,96,1,7180.48,Credit,Boston,Online,Engineer,1,Transaksi Abnormal
374.61,75,37,1,1389.71,Credit,Mesa,Online,Retired,1,Transaksi Abnormal
339.35,78,70,1,5002.7,Credit,Boston,ATM,Retired,1,Transaksi Abnormal
810.36,20,67,1,9239.12,Debit,Columbus,ATM,Student,0,Transaksi Normal
9.83,24,86,1,666.42,Debit,Memphis,ATM,Student,0,Transaksi Normal
135.57,51,116,1,11351.64,Credit,Boston,Branch,Doctor,1,Transaksi Abnormal
340.05,43,37,1,7234.15,Debit,Detroit,ATM,Engineer,0,Transaksi Normal
283.45,27,127,1,2049.51,Debit,Colorado Springs,Branch,Engineer,0,Transaksi Normal
100.99,68,114,1,8865.27,Debit,New York,ATM,Doctor,0,Transaksi Normal
90.88,18,176,1,3908.47,Debit,Albuquerque,Branch,Student,0,Transaksi Normal
655.15,26,264,1,5587.44,Debit,Seattle,ATM,Engineer,0,Transaksi Normal
320.55,50,118,1,438.75,Debit,Milwaukee,Online,Engineer,0,Transaksi Normal
41.51,28,48,1,609.6,Debit,Phoenix,Online,Student,0,Transaksi Normal
71.53,68,39,1,2393.73,Credit,Jacksonville,Branch,Retired,1,Transaksi Abnormal
467.13,54,45,1,3914.84,Credit,Kansas City,Branch,Retired,1,Transaksi Abnormal
235.4,28,70,1,818.36,Debit,Detroit,Branch,Student,0,Transaksi Normal
159.32,18,100,1,304.44,Debit,Seattle,Branch,Student,0,Transaksi Normal
50.83,30,48,1,9553.42,Credit,Philadelphia,Online,Doctor,1,Transaksi Abnormal
56.89,59,56,1,3034.67,Credit,Houston,Branch,Engineer,1,Transaksi Abnormal
20.22,43,138,1,5515.32,Debit,Jacksonville,ATM,Engineer,0,Transaksi Normal
50.4,36,84,1,1677.01,Debit,San Antonio,Branch,Doctor,0,Transaksi Normal
73.88,53,131,1,4055.55,Debit,Los Angeles,Branch,Retired,0,Transaksi Normal
119.61,33,53,1,9899.94,Debit,San Diego,ATM,Doctor,0,Transaksi Normal
1241.05,18,129,1,756.74,Debit,Miami,Branch,Student,0,Transaksi Normal
116.58,43,247,1,2620.74,Debit,Raleigh,Branch,Engineer,0,Transaksi Normal
1919.11,30,161,1,11090.24,Debit,Portland,ATM,Doctor,0,Transaksi Normal
391.96,64,79,1,2174.16,Debit,Nashville,ATM,Retired,0,Transaksi Normal
156.26,46,160,1,7854.1,Credit,Virginia Beach,Branch,Engineer,1,Transaksi Abnormal
427.0,49,163,1,8253.65,Credit,Oklahoma City,Branch,Engineer,1,Transaksi Abnormal
443.68,18,137,1,874.15,Debit,Tucson,ATM,Student,0,Transaksi Normal
101.76,31,26,1,6043.25,Debit,Philadelphia,Branch,Doctor,0,Transaksi Normal
67.57,37,107,1,2766.12,Debit,Charlotte,Branch,Engineer,0,Transaksi Normal
326.29,56,179,1,8171.26,Debit,Denver,Online,Engineer,0,Transaksi Normal
158.56,33,100,1,5401.21,Debit,Sacramento,ATM,Doctor,0,Transaksi Normal
56.02,27,142,1,3548.02,Debit,Memphis,Online,Student,0,Transaksi Normal
288.28,27,36,1,160.83,Debit,Portland,Online,Student,0,Transaksi Normal
245.67,24,107,1,752.25,Credit,Portland,Branch,Student,1,Transaksi Abnormal
152.18,39,176,4,2459.84,Credit,Los Angeles,Online,Engineer,1,Transaksi Abnormal
114.35,41,21,1,469.12,Credit,El Paso,Branch,Engineer,1,Transaksi Abnormal
373.27,61,79,1,8441.61,Credit,Miami,Online,Doctor,1,Transaksi Abnormal
504.63,60,168,1,3806.16,Debit,Portland,Online,Engineer,0,Transaksi Normal
126.22,46,77,4,6133.41,Debit,Atlanta,ATM,Engineer,0,Transaksi Normal
820.15,47,181,1,8802.97,Debit,Kansas City,Branch,Doctor,0,Transaksi Normal
986.81,68,127,1,14881.77,Credit,Houston,Online,Doctor,1,Transaksi Abnormal
8.37,63,135,1,1106.34,Debit,Colorado Springs,ATM,Retired,0,Transaksi Normal
197.49,53,30,1,5005.33,Credit,Fresno,Online,Retired,1,Transaksi Abnormal
637.97,58,90,1,7949.03,Debit,New York,Branch,Retired,0,Transaksi Normal
13.52,26,65,1,259.77,Debit,Seattle,ATM,Student,0,Transaksi Normal
432.1,49,240,1,2114.3,Debit,San Francisco,ATM,Engineer,0,Transaksi Normal
375.17,51,66,2,5495.3,Debit,Fort Worth,ATM,Engineer,0,Transaksi Normal
642.68,50,94,1,8461.46,Debit,Fresno,Branch,Doctor,0,Transaksi Normal
78.44,52,292,1,6870.84,Credit,San Jose,Online,Retired,1,Transaksi Abnormal
139.72,49,201,1,5058.83,Debit,Memphis,Branch,Engineer,0,Transaksi Normal
499.99,31,296,1,8885.0,Debit,San Jose,Branch,Engineer,0,Transaksi Normal
10.07,24,49,1,530.81,Debit,Albuquerque,Online,Student,0,Transaksi Normal
120.62,23,85,1,9379.53,Debit,Raleigh,ATM,Student,0,Transaksi Normal
578.49,59,180,1,6475.13,Debit,Nashville,Branch,Retired,0,Transaksi Normal
119.3,34,22,5,319.04,Debit,Mesa,Branch,Engineer,0,Transaksi Normal
280.92,41,168,1,5298.85,Debit,Phoenix,Online,Doctor,0,Transaksi Normal
42.42,21,102,1,490.57,Debit,Sacramento,Online,Student,0,Transaksi Normal
77.03,67,259,1,11310.27,Debit,Fresno,ATM,Doctor,0,Transaksi Normal
22.59,62,45,1,3988.75,Debit,Seattle,ATM,Retired,0,Transaksi Normal
568.76,51,155,1,7484.32,Debit,Baltimore,ATM,Retired,0,Transaksi Normal
25.94,58,211,5,4815.11,Credit,San Jose,Online,Retired,1,Transaksi Abnormal
105.94,51,207,1,5963.1,Debit,Oklahoma City,Branch,Engineer,0,Transaksi Normal
733.29,52,94,5,10427.0,Debit,Virginia Beach,ATM,Doctor,0,Transaksi Normal
350.15,21,195,1,296.47,Credit,Fresno,ATM,Student,1,Transaksi Abnormal
1151.18,65,105,1,1100.06,Debit,Kansas City,ATM,Doctor,0,Transaksi Normal
183.67,19,238,1,910.26,Debit,San Diego,Online,Student,0,Transaksi Normal
278.27,29,123,1,6684.34,Debit,Tucson,Branch,Doctor,0,Transaksi Normal
470.3,40,88,1,8524.09,Debit,Austin,ATM,Doctor,0,Transaksi Normal
261.69,53,84,1,5126.65,Debit,Philadelphia,ATM,Retired,0,Transaksi Normal
365.04,22,94,1,873.89,Debit,Virginia Beach,Branch,Student,0,Transaksi Normal
211.1,57,136,1,7059.77,Debit,Miami,Branch,Retired,0,Transaksi Normal
21.49,58,240,1,11991.24,Debit,Denver,ATM,Doctor,0,Transaksi Normal
63.58,18,199,1,8086.04,Debit,Columbus,ATM,Student,0,Transaksi Normal
321.86,63,167,1,12626.49,Debit,San Antonio,ATM,Doctor,0,Transaksi Normal
12.11,75,127,1,1730.28,Debit,Jacksonville,Branch,Retired,0,Transaksi Normal
642.54,44,28,1,3143.17,Debit,Milwaukee,Branch,Engineer,0,Transaksi Normal
210.45,27,146,1,1242.49,Debit,Las Vegas,ATM,Student,0,Transaksi Normal
313.65,55,173,1,1886.36,Credit,Chicago,Branch,Retired,1,Transaksi Abnormal
99.76,26,131,1,416.89,Debit,Sacramento,Branch,Student,0,Transaksi Normal
115.32,53,113,1,5929.08,Debit,Denver,Branch,Retired,0,Transaksi Normal
33.61,23,72,1,479.08,Debit,Milwaukee,Online,Student,0,Transaksi Normal
498.59,33,32,1,5862.99,Credit,Oklahoma City,Online,Doctor,1,Transaksi Abnormal
98.81,27,91,1,797.1,Debit,San Francisco,Branch,Student,0,Transaksi Normal
1.87,65,147,1,7287.94,Debit,Washington,ATM,Retired,0,Transaksi Normal
78.92,59,95,1,5624.86,Credit,Jacksonville,Online,Engineer,1,Transaksi Abnormal
194.29,39,10,1,2988.41,Credit,Seattle,Branch,Engineer,1,Transaksi Abnormal
28.73,53,185,1,2712.96,Debit,Kansas City,ATM,Engineer,0,Transaksi Normal
105.53,24,88,1,1433.66,Debit,Colorado Springs,Online,Student,0,Transaksi Normal
737.34,30,34,1,7336.56,Debit,Miami,Online,Doctor,0,Transaksi Normal
237.86,18,210,1,475.63,Debit,Philadelphia,ATM,Student,0,Transaksi Normal
409.61,65,89,1,11698.15,Debit,Kansas City,Branch,Doctor,0,Transaksi Normal
75.53,21,157,1,1034.35,Credit,Fresno,Online,Student,1,Transaksi Abnormal
72.75,64,15,1,12042.79,Debit,Phoenix,ATM,Doctor,0,Transaksi Normal
39.11,26,143,1,518.54,Debit,Columbus,Online,Student,0,Transaksi Normal
1309.79,23,139,1,1258.93,Debit,San Francisco,ATM,Student,0,Transaksi Normal
729.38,68,90,1,9127.65,Debit,Los Angeles,ATM,Doctor,0,Transaksi Normal
137.49,34,50,1,4471.05,Debit,Fort Worth,ATM,Engineer,0,Transaksi Normal
504.71,29,61,1,6214.54,Debit,Detroit,Online,Engineer,0,Transaksi Normal
371.47,24,58,1,1187.04,Credit,Milwaukee,Branch,Student,1,Transaksi Abnormal
430.35,36,205,1,354.9,Debit,Charlotte,Online,Doctor,0,Transaksi Normal
230.32,35,56,1,791.46,Debit,Las Vegas,Branch,Engineer,0,Transaksi Normal
121.71,52,140,1,5878.89,Debit,Chicago,ATM,Retired,0,Transaksi Normal
98.87,20,179,1,533.2,Debit,Detroit,Online,Student,0,Transaksi Normal
117.55,24,35,1,897.94,Debit,Fresno,ATM,Student,0,Transaksi Normal
244.64,30,103,1,9159.56,Debit,Tucson,Branch,Doctor,0,Transaksi Normal
321.93,45,12,1,4392.73,Debit,Nashville,ATM,Engineer,0,Transaksi Normal
1092.73,58,11,1,1390.98,Debit,Columbus,Branch,Retired,0,Transaksi Normal
283.23,40,98,1,2008.77,Debit,El Paso,Online,Engineer,0,Transaksi Normal
346.65,30,60,1,6356.96,Debit,Washington,Online,Engineer,0,Transaksi Normal
381.62,64,164,1,6009.12,Debit,Las Vegas,Online,Retired,0,Transaksi Normal
388.65,76,43,1,7896.85,Debit,Oklahoma City,ATM,Retired,0,Transaksi Normal
29.22,24,151,1,1649.43,Debit,San Antonio,ATM,Student,0,Transaksi Normal
46.75,67,150,1,2840.43,Debit,Colorado Springs,Branch,Retired,0,Transaksi Normal
348.64,57,128,1,3274.96,Debit,San Jose,Online,Retired,0,Transaksi Normal
319.17,73,81,1,6501.56,Debit,Tucson,Online,Retired,0,Transaksi Normal
73.95,26,76,1,363.92,Debit,Kansas City,ATM,Student,0,Transaksi Normal
389.63,27,99,1,9748.48,Debit,Mesa,Online,Engineer,0,Transaksi Normal
217.61,19,45,1,1404.53,Debit,Chicago,ATM,Student,0,Transaksi Normal
199.84,21,150,1,706.44,Debit,Dallas,ATM,Student,0,Transaksi Normal
56.35,44,75,1,5095.73,Debit,Charlotte,ATM,Doctor,0,Transaksi Normal
248.95,65,29,1,3059.79,Credit,San Francisco,Branch,Retired,1,Transaksi Abnormal
142.58,33,145,1,7844.23,Debit,San Antonio,ATM,Engineer,0,Transaksi Normal
1020.73,28,87,1,1119.61,Debit,Fort Worth,ATM,Student,0,Transaksi Normal
84.34,58,248,3,5313.97,Debit,Memphis,Online,Retired,0,Transaksi Normal
1607.55,31,156,1,6227.99,Debit,Phoenix,ATM,Engineer,0,Transaksi Normal
333.78,60,98,1,6810.94,Debit,San Diego,ATM,Retired,0,Transaksi Normal
332.59,55,143,1,1457.07,Debit,San Antonio,Online,Retired,0,Transaksi Normal
236.81,22,15,1,813.68,Debit,Oklahoma City,Branch,Student,0,Transaksi Normal
417.8,27,130,1,1518.82,Credit,Philadelphia,Branch,Student,1,Transaksi Abnormal
319.27,50,150,1,10269.78,Debit,San Antonio,ATM,Doctor,0,Transaksi Normal
384.1,42,172,1,672.79,Debit,Detroit,Branch,Engineer,0,Transaksi Normal
820.62,61,158,1,6024.8,Credit,Fresno,Branch,Doctor,1,Transaksi Abnormal
474.77,56,50,1,2158.59,Credit,Indianapolis,Online,Engineer,1,Transaksi Abnormal
542.72,43,92,1,6011.8,Credit,Indianapolis,Branch,Doctor,1,Transaksi Abnormal
79.8,73,76,1,6372.58,Debit,Fort Worth,ATM,Retired,0,Transaksi Normal
46.24,57,52,1,2569.56,Debit,San Diego,Branch,Engineer,0,Transaksi Normal
327.8,61,54,1,10585.48,Debit,San Francisco,ATM,Doctor,0,Transaksi Normal
445.79,52,161,1,717.99,Debit,Las Vegas,ATM,Doctor,0,Transaksi Normal
55.89,72,150,1,3689.65,Debit,Fresno,Online,Retired,0,Transaksi Normal
158.41,28,16,1,1512.16,Debit,Sacramento,Branch,Student,0,Transaksi Normal
101.19,64,75,1,14389.45,Credit,Denver,Online,Doctor,1,Transaksi Abnormal
827.14,36,265,4,9800.21,Debit,El Paso,Branch,Engineer,0,Transaksi Normal
61.97,74,95,1,7014.69,Debit,Phoenix,ATM,Retired,0,Transaksi Normal
27.21,79,102,1,3520.61,Debit,San Jose,ATM,Retired,0,Transaksi Normal
173.74,80,64,1,4913.42,Debit,Houston,Online,Retired,0,Transaksi Normal
176.11,38,105,1,9155.35,Debit,San Jose,Branch,Engineer,0,Transaksi Normal
88.4,46,174,1,2567.53,Debit,Fort Worth,Online,Engineer,0,Transaksi Normal
567.92,53,14,1,3779.47,Debit,Columbus,Online,Retired,0,Transaksi Normal
138.11,68,104,1,4177.65,Credit,Phoenix,Online,Retired,1,Transaksi Abnormal
456.93,28,193,1,7284.76,Credit,Virginia Beach,Branch,Engineer,1,Transaksi Abnormal
101.42,66,146,1,6530.59,Debit,Atlanta,Online,Retired,0,Transaksi Normal
300.61,44,51,1,7895.54,Debit,El Paso,Online,Doctor,0,Transaksi Normal
265.94,54,132,1,6781.3,Debit,Boston,Online,Engineer,0,Transaksi Normal
345.54,29,50,1,2091.78,Debit,San Diego,Online,Engineer,0,Transaksi Normal
411.52,41,88,1,11108.39,Debit,Los Angeles,ATM,Doctor,0,Transaksi Normal
111.21,35,111,1,9088.36,Debit,Portland,Branch,Doctor,0,Transaksi Normal
316.37,53,86,1,4671.69,Debit,Colorado Springs,ATM,Engineer,0,Transaksi Normal
260.63,37,142,1,7534.73,Debit,Fort Worth,Branch,Engineer,0,Transaksi Normal
92.36,29,144,1,6353.14,Debit,Dallas,ATM,Engineer,0,Transaksi Normal
262.06,63,118,1,13587.52,Debit,Oklahoma City,Branch,Doctor,0,Transaksi Normal
64.5,74,230,1,1351.24,Debit,Denver,ATM,Retired,0,Transaksi Normal
253.55,28,85,5,2797.26,Debit,Jacksonville,ATM,Engineer,0,Transaksi Normal
408.28,21,125,3,1222.77,Credit,Nashville,Branch,Student,1,Transaksi Abnormal
175.94,57,89,1,3728.04,Debit,Indianapolis,ATM,Retired,0,Transaksi Normal
199.47,57,142,1,6067.44,Debit,Detroit,Online,Doctor,0,Transaksi Normal
51.07,63,133,1,4292.16,Debit,Dallas,Branch,Retired,0,Transaksi Normal
435.86,56,134,1,3801.82,Debit,Jacksonville,ATM,Retired,0,Transaksi Normal
74.73,64,162,1,6353.22,Credit,Jacksonville,Branch,Retired,1,Transaksi Abnormal
182.79,23,14,1,1251.85,Credit,Louisville,Online,Student,1,Transaksi Abnormal
628.36,44,108,1,11869.71,Debit,Austin,Online,Doctor,0,Transaksi Normal
268.39,29,177,1,9409.43,Debit,San Antonio,Online,Doctor,0,Transaksi Normal
362.27,80,47,1,6003.59,Debit,Jacksonville,ATM,Retired,0,Transaksi Normal
560.15,50,92,1,817.83,Credit,Memphis,Online,Engineer,1,Transaksi Abnormal
351.99,80,45,2,3663.64,Debit,Chicago,ATM,Retired,0,Transaksi Normal
132.36,28,160,1,319.65,Debit,Colorado Springs,Branch,Student,0,Transaksi Normal
24.77,40,17,1,478.23,Credit,Nashville,Online,Engineer,1,Transaksi Abnormal
668.67,44,143,4,13446.81,Debit,Detroit,Online,Doctor,0,Transaksi Normal
80.24,53,58,1,8012.81,Credit,New York,Branch,Doctor,1,Transaksi Abnormal
8.65,68,198,1,4201.22,Debit,Mesa,ATM,Retired,0,Transaksi Normal
178.91,18,19,1,8870.89,Debit,Omaha,ATM,Student,0,Transaksi Normal
115.22,27,108,1,906.2,Debit,San Francisco,Branch,Engineer,0,Transaksi Normal
161.63,46,276,1,9286.37,Debit,San Jose,Online,Doctor,0,Transaksi Normal
542.75,70,63,1,2224.08,Credit,Nashville,Branch,Retired,1,Transaksi Abnormal
317.47,67,16,1,14639.28,Credit,Sacramento,Online,Doctor,1,Transaksi Abnormal
280.99,45,29,1,9733.59,Debit,Houston,Branch,Engineer,0,Transaksi Normal
24.19,29,28,1,2756.2,Debit,San Diego,ATM,Engineer,0,Transaksi Normal
586.85,36,86,1,6655.15,Debit,Mesa,ATM,Doctor,0,Transaksi Normal
372.41,55,143,1,3233.87,Debit,San Diego,ATM,Retired,0,Transaksi Normal
63.17,20,148,1,1676.57,Debit,Fresno,ATM,Student,0,Transaksi Normal
383.69,54,285,1,8371.11,Debit,Colorado Springs,Online,Engineer,0,Transaksi Normal
247.17,65,149,1,2611.64,Credit,Chicago,Branch,Retired,1,Transaksi Abnormal
48.78,18,136,1,552.06,Credit,Kansas City,Branch,Student,1,Transaksi Abnormal
4.15,60,119,1,6017.36,Credit,Omaha,Branch,Retired,1,Transaksi Abnormal
60.99,34,58,1,7281.46,Debit,Oklahoma City,Branch,Engineer,0,Transaksi Normal
408.19,26,241,1,6847.47,Debit,Mesa,Branch,Engineer,0,Transaksi Normal
524.6,58,76,1,13017.7,Debit,El Paso,Branch,Doctor,0,Transaksi Normal
108.96,26,247,1,7597.66,Debit,Milwaukee,ATM,Student,0,Transaksi Normal
70.03,63,49,1,7330.31,Debit,Nashville,Branch,Retired,0,Transaksi Normal
124.84,52,79,1,6711.78,Debit,Louisville,Online,Retired,0,Transaksi Normal
324.04,54,30,1,2248.06,Debit,Virginia Beach,ATM,Retired,0,Transaksi Normal
39.69,70,163,1,3524.68,Debit,Austin,Online,Retired,0,Transaksi Normal
157.7,58,46,1,8332.58,Credit,Omaha,Branch,Engineer,1,Transaksi Abnormal
81.27,22,68,1,1814.48,Credit,Seattle,Online,Student,1,Transaksi Abnormal
193.82,37,176,1,3886.77,Debit,Kansas City,Branch,Engineer,0,Transaksi Normal
16.73,79,165,1,7591.13,Debit,Omaha,Online,Retired,0,Transaksi Normal
474.05,57,214,1,1484.31,Debit,San Jose,ATM,Retired,0,Transaksi Normal
39.21,66,245,4,9385.57,Debit,Miami,ATM,Doctor,0,Transaksi Normal
637.75,79,152,1,4202.92,Debit,Dallas,Branch,Retired,0,Transaksi Normal
153.59,66,174,1,4813.12,Credit,Portland,Branch,Retired,1,Transaksi Abnormal
186.6,18,139,1,9716.68,Debit,Tucson,Branch,Student,0,Transaksi Normal
644.08,24,55,1,1980.62,Debit,Atlanta,Online,Student,0,Transaksi Normal
226.66,41,168,1,10216.25,Debit,Austin,Branch,Doctor,0,Transaksi Normal
305.0,22,222,1,944.83,Debit,Phoenix,ATM,Student,0,Transaksi Normal
233.1,42,37,1,7469.2,Credit,Nashville,Branch,Doctor,1,Transaksi Abnormal
793.13,68,76,1,13389.16,Debit,Memphis,Online,Doctor,0,Transaksi Normal
224.19,52,93,1,8475.47,Debit,Houston,ATM,Doctor,0,Transaksi Normal
214.83,23,63,1,991.69,Credit,Tucson,ATM,Student,1,Transaksi Abnormal
163.46,63,111,1,6953.8,Credit,Baltimore,Branch,Retired,1,Transaksi Abnormal
194.99,34,91,1,1370.03,Debit,Jacksonville,Branch,Engineer,0,Transaksi Normal
23.4,46,175,4,14851.28,Debit,El Paso,ATM,Doctor,0,Transaksi Normal
227.5,34,277,1,11505.35,Debit,Sacramento,Online,Doctor,0,Transaksi Normal
259.9,26,100,1,914.28,Debit,Oklahoma City,Online,Student,0,Transaksi Normal
59.51,36,55,1,9955.88,Credit,Dallas,Online,Doctor,1,Transaksi Abnormal
50.63,64,143,1,4732.81,Debit,Columbus,Online,Retired,0,Transaksi Normal
1074.95,20,91,1,530.86,Debit,Jacksonville,Branch,Student,0,Transaksi Normal
112.94,73,31,1,3807.84,Credit,San Antonio,Online,Retired,1,Transaksi Abnormal
11.81,21,131,1,320.25,Debit,Phoenix,ATM,Student,0,Transaksi Normal
329.14,55,14,1,12033.92,Debit,Sacramento,Branch,Doctor,0,Transaksi Normal
154.24,61,82,1,6109.55,Debit,Mesa,ATM,Retired,0,Transaksi Normal
233.44,20,297,1,1691.88,Debit,Chicago,Online,Student,0,Transaksi Normal
141.8,18,116,1,1697.67,Debit,Chicago,ATM,Student,0,Transaksi Normal
209.03,55,126,1,8359.5,Debit,Detroit,Branch,Engineer,0,Transaksi Normal
1137.63,26,144,1,1629.12,Debit,Baltimore,ATM,Student,0,Transaksi Normal
261.14,42,162,1,6100.08,Debit,San Antonio,ATM,Engineer,0,Transaksi Normal
101.81,45,105,1,13872.03,Debit,Fort Worth,ATM,Doctor,0,Transaksi Normal
98.71,32,117,1,10095.23,Debit,Fort Worth,ATM,Doctor,0,Transaksi Normal
87.38,21,252,1,1504.99,Debit,Atlanta,Branch,Student,0,Transaksi Normal
83.39,32,158,1,13182.11,Debit,Omaha,Branch,Doctor,0,Transaksi Normal
267.55,46,40,1,4330.04,Debit,Charlotte,Online,Engineer,0,Transaksi Normal
870.05,29,39,1,905.25,Debit,El Paso,ATM,Doctor,0,Transaksi Normal
154.32,38,269,1,6972.5,Credit,Tucson,ATM,Engineer,1,Transaksi Abnormal
164.51,78,110,1,3553.69,Debit,Louisville,Branch,Retired,0,Transaksi Normal
758.12,69,90,1,6164.65,Debit,San Francisco,ATM,Retired,0,Transaksi Normal
103.76,28,188,1,9626.14,Debit,Kansas City,Online,Engineer,0,Transaksi Normal
583.92,55,139,1,6364.14,Debit,Kansas City,Online,Engineer,0,Transaksi Normal
204.06,77,159,1,4351.83,Debit,Washington,Online,Retired,0,Transaksi Normal
53.51,56,165,1,5773.5,Debit,New York,Online,Retired,0,Transaksi Normal
1108.46,30,262,1,9257.04,Debit,Los Angeles,Branch,Engineer,0,Transaksi Normal
52.95,68,14,1,6335.58,Credit,Charlotte,Online,Retired,1,Transaksi Abnormal
120.17,49,105,1,5403.79,Debit,Portland,ATM,Doctor,0,Transaksi Normal
220.8,31,28,1,8135.31,Debit,Indianapolis,Online,Engineer,0,Transaksi Normal
119.01,45,87,1,9798.26,Debit,Philadelphia,ATM,Doctor,0,Transaksi Normal
183.32,21,74,1,137.42,Debit,Raleigh,ATM,Student,0,Transaksi Normal
858.88,60,227,1,7015.46,Debit,Jacksonville,Online,Engineer,0,Transaksi Normal
11.46,41,128,1,2356.71,Credit,San Francisco,Online,Engineer,1,Transaksi Abnormal
61.37,75,164,1,4294.44,Debit,Columbus,Branch,Retired,0,Transaksi Normal
103.08,49,150,1,9251.38,Credit,Milwaukee,Branch,Engineer,1,Transaksi Abnormal
1.21,55,196,1,7542.74,Debit,Atlanta,Branch,Retired,0,Transaksi Normal
425.18,26,172,1,9880.71,Credit,Colorado Springs,Online,Engineer,1,Transaksi Abnormal
60.96,52,238,1,6189.24,Debit,Colorado Springs,ATM,Retired,0,Transaksi Normal
64.21,51,37,1,12540.18,Debit,Omaha,ATM,Doctor,0,Transaksi Normal
523.02,53,83,1,4586.11,Debit,Jacksonville,Online,Retired,0,Transaksi Normal
50.26,65,164,1,1519.38,Debit,Las Vegas,Branch,Retired,0,Transaksi Normal
110.08,19,95,1,1447.26,Debit,Detroit,Branch,Student,0,Transaksi Normal
54.47,23,34,1,1131.42,Credit,Philadelphia,Branch,Student,1,Transaksi Abnormal
79.76,68,115,1,10278.75,Debit,Kansas City,Online,Doctor,0,Transaksi Normal
16.79,30,146,1,535.15,Credit,Detroit,Online,Doctor,1,Transaksi Abnormal
1531.31,18,62,4,859.86,Debit,San Diego,Online,Student,0,Transaksi Normal
68.62,29,157,1,13891.47,Debit,Omaha,Branch,Doctor,0,Transaksi Normal
157.16,20,280,1,1545.77,Debit,New York,Branch,Student,0,Transaksi Normal
643.38,18,105,1,1046.74,Credit,Detroit,Online,Student,1,Transaksi Abnormal
328.34,42,31,1,2840.45,Credit,San Diego,Online,Engineer,1,Transaksi Abnormal
72.68,69,44,1,6216.77,Debit,Seattle,Online,Retired,0,Transaksi Normal
354.76,51,279,1,10141.92,Debit,Detroit,Branch,Doctor,0,Transaksi Normal
793.88,22,252,1,1404.06,Credit,Los Angeles,ATM,Student,1,Transaksi Abnormal
29.22,27,69,1,7795.79,Debit,Detroit,ATM,Engineer,0,Transaksi Normal
653.97,37,100,1,3886.65,Debit,Miami,Online,Engineer,0,Transaksi Normal
366.43,21,92,1,1560.45,Credit,Portland,Online,Student,1,Transaksi Abnormal
120.86,33,162,4,13566.58,Debit,Colorado Springs,Online,Doctor,0,Transaksi Normal
233.74,72,142,1,4749.54,Debit,Boston,Online,Retired,0,Transaksi Normal
471.84,18,138,1,1044.33,Debit,Raleigh,ATM,Student,0,Transaksi Normal
213.4,73,100,1,2012.24,Credit,Fort Worth,Branch,Retired,1,Transaksi Abnormal
254.21,48,46,1,2487.2,Debit,Phoenix,ATM,Engineer,0,Transaksi Normal
577.73,37,63,1,14977.99,Debit,San Jose,ATM,Doctor,0,Transaksi Normal
170.26,27,265,1,1969.48,Debit,Chicago,ATM,Student,0,Transaksi Normal
337.73,78,107,4,7001.2,Debit,San Antonio,Online,Retired,0,Transaksi Normal
330.61,64,113,1,2525.25,Credit,Nashville,Branch,Retired,1,Transaksi Abnormal
132.33,35,47,1,7457.94,Credit,Phoenix,ATM,Engineer,1,Transaksi Abnormal
672.74,46,118,1,5386.52,Credit,Colorado Springs,Branch,Engineer,1,Transaksi Abnormal
74.04,18,66,1,1690.23,Debit,Memphis,Online,Student,0,Transaksi Normal
197.18,28,135,1,3114.92,Debit,Tucson,Online,Engineer,0,Transaksi Normal
21.15,70,180,1,3466.74,Debit,Columbus,Branch,Retired,0,Transaksi Normal
218.37,62,105,1,9942.24,Debit,Houston,ATM,Doctor,0,Transaksi Normal
590.01,29,140,3,9791.74,Debit,San Jose,Online,Doctor,0,Transaksi Normal
697.82,44,153,1,6824.0,Debit,New York,Online,Engineer,0,Transaksi Normal
302.76,38,88,3,8583.39,Debit,Sacramento,ATM,Engineer,0,Transaksi Normal
148.0,20,35,1,1488.65,Debit,Tucson,Branch,Student,0,Transaksi Normal
22.26,19,56,1,5583.88,Debit,San Antonio,Branch,Student,0,Transaksi Normal
0.86,25,139,1,1357.22,Debit,Colorado Springs,ATM,Student,0,Transaksi Normal
757.1,65,203,1,10553.23,Debit,Atlanta,Branch,Doctor,0,Transaksi Normal
38.81,25,145,1,1619.6,Credit,Virginia Beach,Online,Student,1,Transaksi Abnormal
76.51,49,120,4,9475.4,Credit,Mesa,Online,Engineer,1,Transaksi Abnormal
32.46,31,10,1,8656.18,Debit,Charlotte,Online,Doctor,0,Transaksi Normal
1022.75,62,158,1,207.74,Credit,San Jose,Branch,Doctor,1,Transaksi Abnormal
20.64,22,59,1,949.38,Debit,Charlotte,Branch,Student,0,Transaksi Normal
662.11,23,219,1,1996.38,Debit,Atlanta,Branch,Student,0,Transaksi Normal
288.77,55,110,1,8836.51,Debit,Los Angeles,ATM,Engineer,0,Transaksi Normal
35.05,30,105,1,14330.47,Debit,Boston,Branch,Doctor,0,Transaksi Normal
214.73,46,26,1,5368.42,Credit,Los Angeles,ATM,Doctor,1,Transaksi Abnormal
25.38,57,66,1,8616.05,Debit,Louisville,Branch,Engineer,0,Transaksi Normal
617.66,41,40,1,5906.58,Debit,Memphis,ATM,Engineer,0,Transaksi Normal
446.39,63,77,1,7863.6,Debit,Houston,ATM,Retired,0,Transaksi Normal
